"","date","ndvi","year","month","treatment","reproductive","abundance","proportion","sex"
"1",1995-10-01,0.239257425533497,1995,10,"exclosure",0,1,0,"female"
"2",1996-01-01,0.151762826562724,1996,1,"control",0,1,0,"male"
"3",1996-06-01,0.132741958393342,1996,6,"control",0,1,0,"male"
"4",1996-06-01,0.132741958393342,1996,6,"exclosure",0,1,0,"female"
"5",1996-07-01,0.211906498661239,1996,7,"control",0,1,0,"female"
"6",1996-08-01,0.186964908364158,1996,8,"exclosure",0,1,0,"female"
"7",1996-09-01,0.195340372055619,1996,9,"control",0,4,0,"male"
"8",1996-09-01,0.195340372055619,1996,9,"exclosure",0,1,0,"male"
"9",1996-09-01,0.195340372055619,1996,9,"control",0,1,0,"female"
"10",1996-09-01,0.195340372055619,1996,9,"exclosure",0,2,0,"female"
"11",1996-10-01,0.176698640190404,1996,10,"control",0,4,0,"male"
"12",1996-10-01,0.176698640190404,1996,10,"exclosure",0,2,0,"male"
"13",1996-10-01,0.176698640190404,1996,10,"exclosure",0,1,0,"female"
"14",1996-11-01,0.14442962969942,1996,11,"control",0,2,0,"male"
"15",1996-11-01,0.14442962969942,1996,11,"exclosure",0,2,0,"female"
"16",1996-12-01,0.154176933986466,1996,12,"control",1,3,0.333333333333333,"male"
"17",1996-12-01,0.154176933986466,1996,12,"control",0,1,0,"female"
"18",1996-12-01,0.154176933986466,1996,12,"exclosure",0,2,0,"female"
"19",1997-02-01,0.132428066521062,1997,2,"control",1,5,0.2,"male"
"20",1997-02-01,0.132428066521062,1997,2,"exclosure",0,1,0,"male"
"21",1997-02-01,0.132428066521062,1997,2,"control",0,1,0,"female"
"22",1997-02-01,0.132428066521062,1997,2,"exclosure",0,3,0,"female"
"23",1997-03-01,0.178686172748585,1997,3,"control",1,3,0.333333333333333,"male"
"24",1997-03-01,0.178686172748585,1997,3,"exclosure",0,3,0,"male"
"25",1997-03-01,0.178686172748585,1997,3,"exclosure",1,1,1,"female"
"26",1997-04-01,0.153975307671954,1997,4,"control",0,2,0,"male"
"27",1997-04-01,0.153975307671954,1997,4,"exclosure",0,1,0,"male"
"28",1997-04-01,0.153975307671954,1997,4,"exclosure",0,2,0,"female"
"29",1997-05-01,0.148272186247155,1997,5,"exclosure",1,9,0.111111111111111,"male"
"30",1997-05-01,0.148272186247155,1997,5,"control",0,4,0,"male"
"31",1997-05-01,0.148272186247155,1997,5,"exclosure",2,4,0.5,"female"
"32",1997-06-01,0.147970378099939,1997,6,"control",0,4,0,"male"
"33",1997-06-01,0.147970378099939,1997,6,"exclosure",0,16,0,"male"
"34",1997-06-01,0.147970378099939,1997,6,"exclosure",1,12,0.0833333333333333,"female"
"35",1997-06-01,0.147970378099939,1997,6,"control",0,3,0,"female"
"36",1997-07-01,0.136668318150764,1997,7,"exclosure",1,33,0.0303030303030303,"male"
"37",1997-07-01,0.136668318150764,1997,7,"control",0,8,0,"male"
"38",1997-07-01,0.136668318150764,1997,7,"control",0,7,0,"female"
"39",1997-07-01,0.136668318150764,1997,7,"exclosure",0,20,0,"female"
"40",1997-09-01,0.168888153556594,1997,9,"control",0,3,0,"male"
"41",1997-09-01,0.168888153556594,1997,9,"exclosure",0,10,0,"male"
"42",1997-09-01,0.168888153556594,1997,9,"control",0,5,0,"female"
"43",1997-09-01,0.168888153556594,1997,9,"exclosure",0,12,0,"female"
"44",1997-10-01,0.151944762267122,1997,10,"control",0,3,0,"male"
"45",1997-10-01,0.151944762267122,1997,10,"exclosure",0,9,0,"male"
"46",1997-10-01,0.151944762267122,1997,10,"control",0,4,0,"female"
"47",1997-10-01,0.151944762267122,1997,10,"exclosure",0,9,0,"female"
"48",1997-11-01,0.119488483294782,1997,11,"control",0,4,0,"male"
"49",1997-11-01,0.119488483294782,1997,11,"exclosure",0,9,0,"male"
"50",1997-11-01,0.119488483294782,1997,11,"control",0,2,0,"female"
"51",1997-11-01,0.119488483294782,1997,11,"exclosure",0,9,0,"female"
"52",1997-12-01,0.116409805270173,1997,12,"control",0,1,0,"male"
"53",1997-12-01,0.116409805270173,1997,12,"exclosure",0,5,0,"male"
"54",1997-12-01,0.116409805270173,1997,12,"control",0,2,0,"female"
"55",1997-12-01,0.116409805270173,1997,12,"exclosure",0,7,0,"female"
"56",1998-01-01,0.112263413201559,1998,1,"control",0,2,0,"male"
"57",1998-01-01,0.112263413201559,1998,1,"exclosure",0,5,0,"male"
"58",1998-01-01,0.112263413201559,1998,1,"control",0,1,0,"female"
"59",1998-01-01,0.112263413201559,1998,1,"exclosure",0,3,0,"female"
"60",1998-02-01,0.175434044893684,1998,2,"exclosure",0,1,0,"male"
"61",1998-02-01,0.175434044893684,1998,2,"exclosure",0,3,0,"female"
"62",1998-03-01,0.1529635818391,1998,3,"control",1,5,0.2,"male"
"63",1998-03-01,0.1529635818391,1998,3,"exclosure",0,10,0,"male"
"64",1998-03-01,0.1529635818391,1998,3,"exclosure",2,12,0.166666666666667,"female"
"65",1998-03-01,0.1529635818391,1998,3,"control",1,3,0.333333333333333,"female"
"66",1998-05-01,0.146106228895238,1998,5,"control",1,1,1,"male"
"67",1998-05-01,0.146106228895238,1998,5,"exclosure",0,7,0,"male"
"68",1998-05-01,0.146106228895238,1998,5,"exclosure",8,16,0.5,"female"
"69",1998-05-01,0.146106228895238,1998,5,"control",2,3,0.666666666666667,"female"
"70",1998-06-01,0.140428342890135,1998,6,"exclosure",1,7,0.142857142857143,"male"
"71",1998-06-01,0.140428342890135,1998,6,"exclosure",7,19,0.368421052631579,"female"
"72",1998-06-01,0.140428342890135,1998,6,"control",0,1,0,"female"
"73",1998-07-01,0.174192811201329,1998,7,"control",0,2,0,"male"
"74",1998-07-01,0.174192811201329,1998,7,"exclosure",0,9,0,"male"
"75",1998-07-01,0.174192811201329,1998,7,"control",1,7,0.142857142857143,"female"
"76",1998-07-01,0.174192811201329,1998,7,"exclosure",7,19,0.368421052631579,"female"
"77",1998-08-01,0.177626925550719,1998,8,"exclosure",3,21,0.142857142857143,"male"
"78",1998-08-01,0.177626925550719,1998,8,"control",0,5,0,"male"
"79",1998-08-01,0.177626925550719,1998,8,"exclosure",6,13,0.461538461538462,"female"
"80",1998-08-01,0.177626925550719,1998,8,"control",0,5,0,"female"
"81",1998-09-01,0.167366843024439,1998,9,"exclosure",3,23,0.130434782608696,"male"
"82",1998-09-01,0.167366843024439,1998,9,"control",0,7,0,"male"
"83",1998-09-01,0.167366843024439,1998,9,"exclosure",1,10,0.1,"female"
"84",1998-09-01,0.167366843024439,1998,9,"control",0,2,0,"female"
"85",1998-10-01,0.136791441431322,1998,10,"control",0,5,0,"male"
"86",1998-10-01,0.136791441431322,1998,10,"exclosure",0,16,0,"male"
"87",1998-10-01,0.136791441431322,1998,10,"control",0,4,0,"female"
"88",1998-10-01,0.136791441431322,1998,10,"exclosure",0,10,0,"female"
"89",1998-11-01,0.14939891324863,1998,11,"control",0,1,0,"male"
"90",1998-11-01,0.14939891324863,1998,11,"exclosure",0,12,0,"male"
"91",1998-11-01,0.14939891324863,1998,11,"exclosure",1,14,0.0714285714285714,"female"
"92",1998-11-01,0.14939891324863,1998,11,"control",0,3,0,"female"
"93",1998-12-01,0.209064089662929,1998,12,"exclosure",0,4,0,"male"
"94",1998-12-01,0.209064089662929,1998,12,"control",0,2,0,"female"
"95",1998-12-01,0.209064089662929,1998,12,"exclosure",0,14,0,"female"
"96",1999-01-01,0.169802233562131,1999,1,"exclosure",0,3,0,"male"
"97",1999-01-01,0.169802233562131,1999,1,"control",0,4,0,"female"
"98",1999-01-01,0.169802233562131,1999,1,"exclosure",0,16,0,"female"
"99",1999-02-01,0.130315158494256,1999,2,"exclosure",3,5,0.6,"male"
"100",1999-02-01,0.130315158494256,1999,2,"control",0,2,0,"male"
"101",1999-02-01,0.130315158494256,1999,2,"control",0,4,0,"female"
"102",1999-02-01,0.130315158494256,1999,2,"exclosure",0,16,0,"female"
"103",1999-03-01,0.112053170023388,1999,3,"exclosure",1,4,0.25,"male"
"104",1999-03-01,0.112053170023388,1999,3,"control",1,3,0.333333333333333,"male"
"105",1999-03-01,0.112053170023388,1999,3,"control",0,3,0,"female"
"106",1999-03-01,0.112053170023388,1999,3,"exclosure",0,14,0,"female"
"107",1999-04-01,0.108564752794074,1999,4,"exclosure",1,6,0.166666666666667,"male"
"108",1999-04-01,0.108564752794074,1999,4,"control",1,2,0.5,"male"
"109",1999-04-01,0.108564752794074,1999,4,"exclosure",4,21,0.19047619047619,"female"
"110",1999-04-01,0.108564752794074,1999,4,"control",0,2,0,"female"
"111",1999-05-01,0.0990829371340823,1999,5,"exclosure",1,4,0.25,"male"
"112",1999-05-01,0.0990829371340823,1999,5,"control",0,2,0,"male"
"113",1999-05-01,0.0990829371340823,1999,5,"exclosure",4,16,0.25,"female"
"114",1999-05-01,0.0990829371340823,1999,5,"control",2,6,0.333333333333333,"female"
"115",1999-06-01,0.112317955855,1999,6,"exclosure",1,9,0.111111111111111,"male"
"116",1999-06-01,0.112317955855,1999,6,"control",0,2,0,"male"
"117",1999-06-01,0.112317955855,1999,6,"exclosure",4,25,0.16,"female"
"118",1999-06-01,0.112317955855,1999,6,"control",1,3,0.333333333333333,"female"
"119",1999-09-01,0.227288184807249,1999,9,"exclosure",1,2,0.5,"male"
"120",1999-09-01,0.227288184807249,1999,9,"exclosure",4,5,0.8,"female"
"121",1999-09-01,0.227288184807249,1999,9,"control",1,1,1,"female"
"122",1999-10-01,0.192290165604745,1999,10,"exclosure",1,5,0.2,"male"
"123",1999-10-01,0.192290165604745,1999,10,"exclosure",2,11,0.181818181818182,"female"
"124",1999-10-01,0.192290165604745,1999,10,"control",1,3,0.333333333333333,"female"
"125",1999-11-01,0.150278008167289,1999,11,"exclosure",3,8,0.375,"male"
"126",1999-11-01,0.150278008167289,1999,11,"control",0,3,0,"male"
"127",1999-11-01,0.150278008167289,1999,11,"control",2,4,0.5,"female"
"128",1999-11-01,0.150278008167289,1999,11,"exclosure",7,14,0.5,"female"
"129",1999-12-01,0.126726911517064,1999,12,"exclosure",1,12,0.0833333333333333,"male"
"130",1999-12-01,0.126726911517064,1999,12,"control",3,7,0.428571428571429,"male"
"131",1999-12-01,0.126726911517064,1999,12,"exclosure",6,13,0.461538461538462,"female"
"132",1999-12-01,0.126726911517064,1999,12,"control",0,3,0,"female"
"133",2000-01-01,0.123329390421801,2000,1,"control",1,10,0.1,"male"
"134",2000-01-01,0.123329390421801,2000,1,"exclosure",2,10,0.2,"male"
"135",2000-01-01,0.123329390421801,2000,1,"exclosure",3,12,0.25,"female"
"136",2000-01-01,0.123329390421801,2000,1,"control",0,5,0,"female"
"137",2000-02-01,0.12328397352174,2000,2,"exclosure",1,9,0.111111111111111,"male"
"138",2000-02-01,0.12328397352174,2000,2,"control",3,18,0.166666666666667,"male"
"139",2000-02-01,0.12328397352174,2000,2,"control",2,10,0.2,"female"
"140",2000-02-01,0.12328397352174,2000,2,"exclosure",3,13,0.230769230769231,"female"
"141",2000-03-01,0.109842981409985,2000,3,"exclosure",3,11,0.272727272727273,"male"
"142",2000-03-01,0.109842981409985,2000,3,"control",3,8,0.375,"male"
"143",2000-03-01,0.109842981409985,2000,3,"control",4,13,0.307692307692308,"female"
"144",2000-03-01,0.109842981409985,2000,3,"exclosure",6,14,0.428571428571429,"female"
"145",2000-04-01,0.107135444602903,2000,4,"control",1,7,0.142857142857143,"male"
"146",2000-04-01,0.107135444602903,2000,4,"exclosure",3,11,0.272727272727273,"male"
"147",2000-04-01,0.107135444602903,2000,4,"control",3,12,0.25,"female"
"148",2000-04-01,0.107135444602903,2000,4,"exclosure",5,16,0.3125,"female"
"149",2000-06-01,0.108407533989948,2000,6,"exclosure",1,14,0.0714285714285714,"male"
"150",2000-06-01,0.108407533989948,2000,6,"control",0,8,0,"male"
"151",2000-06-01,0.108407533989948,2000,6,"control",2,12,0.166666666666667,"female"
"152",2000-06-01,0.108407533989948,2000,6,"exclosure",10,22,0.454545454545455,"female"
"153",2000-07-01,0.146794698758837,2000,7,"control",1,18,0.0555555555555556,"male"
"154",2000-07-01,0.146794698758837,2000,7,"exclosure",4,28,0.142857142857143,"male"
"155",2000-07-01,0.146794698758837,2000,7,"control",8,28,0.285714285714286,"female"
"156",2000-07-01,0.146794698758837,2000,7,"exclosure",11,35,0.314285714285714,"female"
"157",2000-08-01,0.134911767931201,2000,8,"control",1,14,0.0714285714285714,"male"
"158",2000-08-01,0.134911767931201,2000,8,"exclosure",0,10,0,"male"
"159",2000-08-01,0.134911767931201,2000,8,"exclosure",5,22,0.227272727272727,"female"
"160",2000-08-01,0.134911767931201,2000,8,"control",3,11,0.272727272727273,"female"
"161",2000-09-01,0.128144102157977,2000,9,"control",0,7,0,"male"
"162",2000-09-01,0.128144102157977,2000,9,"exclosure",0,6,0,"male"
"163",2000-09-01,0.128144102157977,2000,9,"control",0,3,0,"female"
"164",2000-09-01,0.128144102157977,2000,9,"exclosure",0,10,0,"female"
"165",2000-10-01,0.123310181217369,2000,10,"control",0,2,0,"male"
"166",2000-10-01,0.123310181217369,2000,10,"exclosure",0,3,0,"male"
"167",2000-10-01,0.123310181217369,2000,10,"control",0,6,0,"female"
"168",2000-10-01,0.123310181217369,2000,10,"exclosure",0,7,0,"female"
"169",2000-11-01,0.162343532182127,2000,11,"control",0,7,0,"male"
"170",2000-11-01,0.162343532182127,2000,11,"exclosure",0,12,0,"male"
"171",2000-11-01,0.162343532182127,2000,11,"exclosure",1,9,0.111111111111111,"female"
"172",2000-11-01,0.162343532182127,2000,11,"control",0,3,0,"female"
"173",2000-12-01,0.232710880297738,2000,12,"control",0,6,0,"male"
"174",2000-12-01,0.232710880297738,2000,12,"exclosure",0,8,0,"male"
"175",2000-12-01,0.232710880297738,2000,12,"control",0,3,0,"female"
"176",2000-12-01,0.232710880297738,2000,12,"exclosure",0,10,0,"female"
"177",2001-01-01,0.19563480625003,2001,1,"exclosure",2,6,0.333333333333333,"male"
"178",2001-01-01,0.19563480625003,2001,1,"control",0,5,0,"male"
"179",2001-01-01,0.19563480625003,2001,1,"control",0,2,0,"female"
"180",2001-01-01,0.19563480625003,2001,1,"exclosure",0,11,0,"female"
"181",2001-03-01,0.285754288207036,2001,3,"control",3,12,0.25,"male"
"182",2001-03-01,0.285754288207036,2001,3,"exclosure",3,9,0.333333333333333,"male"
"183",2001-03-01,0.285754288207036,2001,3,"exclosure",7,11,0.636363636363636,"female"
"184",2001-03-01,0.285754288207036,2001,3,"control",0,3,0,"female"
"185",2001-04-01,0.206162104851669,2001,4,"exclosure",3,10,0.3,"male"
"186",2001-04-01,0.206162104851669,2001,4,"exclosure",4,7,0.571428571428571,"female"
"187",2001-04-01,0.206162104851669,2001,4,"control",0,2,0,"female"
"188",2001-05-01,0.167788067824412,2001,5,"exclosure",1,9,0.111111111111111,"male"
"189",2001-05-01,0.167788067824412,2001,5,"control",1,6,0.166666666666667,"male"
"190",2001-05-01,0.167788067824412,2001,5,"exclosure",6,8,0.75,"female"
"191",2001-05-01,0.167788067824412,2001,5,"control",0,3,0,"female"
"192",2001-06-01,0.151139729414925,2001,6,"exclosure",1,9,0.111111111111111,"male"
"193",2001-06-01,0.151139729414925,2001,6,"control",1,4,0.25,"male"
"194",2001-06-01,0.151139729414925,2001,6,"exclosure",2,9,0.222222222222222,"female"
"195",2001-06-01,0.151139729414925,2001,6,"control",0,2,0,"female"
"196",2001-07-01,0.159942252431431,2001,7,"exclosure",2,12,0.166666666666667,"male"
"197",2001-07-01,0.159942252431431,2001,7,"control",0,5,0,"male"
"198",2001-07-01,0.159942252431431,2001,7,"exclosure",2,11,0.181818181818182,"female"
"199",2001-07-01,0.159942252431431,2001,7,"control",2,6,0.333333333333333,"female"
"200",2001-08-01,0.200389019434087,2001,8,"control",1,12,0.0833333333333333,"male"
"201",2001-08-01,0.200389019434087,2001,8,"exclosure",2,18,0.111111111111111,"male"
"202",2001-08-01,0.200389019434087,2001,8,"exclosure",3,34,0.0882352941176471,"female"
"203",2001-08-01,0.200389019434087,2001,8,"control",1,11,0.0909090909090909,"female"
"204",2001-09-01,0.199049327876066,2001,9,"control",0,7,0,"male"
"205",2001-09-01,0.199049327876066,2001,9,"exclosure",0,26,0,"male"
"206",2001-09-01,0.199049327876066,2001,9,"exclosure",2,36,0.0555555555555556,"female"
"207",2001-09-01,0.199049327876066,2001,9,"control",0,13,0,"female"
"208",2001-10-01,0.156004590033189,2001,10,"exclosure",1,18,0.0555555555555556,"male"
"209",2001-10-01,0.156004590033189,2001,10,"control",1,8,0.125,"male"
"210",2001-10-01,0.156004590033189,2001,10,"exclosure",1,31,0.032258064516129,"female"
"211",2001-10-01,0.156004590033189,2001,10,"control",0,15,0,"female"
"212",2001-11-01,0.131845437841053,2001,11,"exclosure",1,19,0.0526315789473684,"male"
"213",2001-11-01,0.131845437841053,2001,11,"control",1,7,0.142857142857143,"male"
"214",2001-11-01,0.131845437841053,2001,11,"control",0,15,0,"female"
"215",2001-11-01,0.131845437841053,2001,11,"exclosure",0,31,0,"female"
"216",2001-12-01,0.131917205209967,2001,12,"control",1,3,0.333333333333333,"male"
"217",2001-12-01,0.131917205209967,2001,12,"exclosure",0,8,0,"male"
"218",2001-12-01,0.131917205209967,2001,12,"control",0,4,0,"female"
"219",2001-12-01,0.131917205209967,2001,12,"exclosure",0,19,0,"female"
"220",2002-01-01,0.126309161493655,2002,1,"control",0,3,0,"male"
"221",2002-01-01,0.126309161493655,2002,1,"exclosure",0,7,0,"male"
"222",2002-01-01,0.126309161493655,2002,1,"control",0,3,0,"female"
"223",2002-01-01,0.126309161493655,2002,1,"exclosure",0,11,0,"female"
"224",2002-02-01,0.120761541585265,2002,2,"exclosure",8,18,0.444444444444444,"male"
"225",2002-02-01,0.120761541585265,2002,2,"control",4,7,0.571428571428571,"male"
"226",2002-02-01,0.120761541585265,2002,2,"control",0,9,0,"female"
"227",2002-02-01,0.120761541585265,2002,2,"exclosure",0,26,0,"female"
"228",2002-03-01,0.120653065683336,2002,3,"exclosure",4,14,0.285714285714286,"male"
"229",2002-03-01,0.120653065683336,2002,3,"control",0,2,0,"male"
"230",2002-03-01,0.120653065683336,2002,3,"exclosure",4,24,0.166666666666667,"female"
"231",2002-03-01,0.120653065683336,2002,3,"control",0,12,0,"female"
"232",2002-04-01,0.107868841233272,2002,4,"exclosure",7,19,0.368421052631579,"male"
"233",2002-04-01,0.107868841233272,2002,4,"control",2,4,0.5,"male"
"234",2002-04-01,0.107868841233272,2002,4,"control",5,9,0.555555555555556,"female"
"235",2002-04-01,0.107868841233272,2002,4,"exclosure",12,21,0.571428571428571,"female"
"236",2002-05-01,0.108967315988629,2002,5,"exclosure",5,24,0.208333333333333,"male"
"237",2002-05-01,0.108967315988629,2002,5,"control",2,8,0.25,"male"
"238",2002-05-01,0.108967315988629,2002,5,"control",3,14,0.214285714285714,"female"
"239",2002-05-01,0.108967315988629,2002,5,"exclosure",8,36,0.222222222222222,"female"
"240",2002-06-01,0.107821676689843,2002,6,"control",1,15,0.0666666666666667,"male"
"241",2002-06-01,0.107821676689843,2002,6,"exclosure",4,22,0.181818181818182,"male"
"242",2002-06-01,0.107821676689843,2002,6,"exclosure",8,39,0.205128205128205,"female"
"243",2002-06-01,0.107821676689843,2002,6,"control",3,11,0.272727272727273,"female"
"244",2002-07-01,0.10420168982997,2002,7,"exclosure",2,21,0.0952380952380952,"male"
"245",2002-07-01,0.10420168982997,2002,7,"control",0,11,0,"male"
"246",2002-07-01,0.10420168982997,2002,7,"exclosure",6,43,0.13953488372093,"female"
"247",2002-07-01,0.10420168982997,2002,7,"control",0,14,0,"female"
"248",2002-09-01,0.264430293605439,2002,9,"exclosure",3,7,0.428571428571429,"male"
"249",2002-09-01,0.264430293605439,2002,9,"control",0,1,0,"male"
"250",2002-09-01,0.264430293605439,2002,9,"exclosure",2,12,0.166666666666667,"female"
"251",2002-09-01,0.264430293605439,2002,9,"control",2,5,0.4,"female"
"252",2002-10-01,0.201000939533776,2002,10,"control",1,7,0.142857142857143,"male"
"253",2002-10-01,0.201000939533776,2002,10,"exclosure",3,21,0.142857142857143,"male"
"254",2002-10-01,0.201000939533776,2002,10,"control",4,16,0.25,"female"
"255",2002-10-01,0.201000939533776,2002,10,"exclosure",12,48,0.25,"female"
"256",2002-11-01,0.162252473279615,2002,11,"control",1,9,0.111111111111111,"male"
"257",2002-11-01,0.162252473279615,2002,11,"exclosure",5,26,0.192307692307692,"male"
"258",2002-11-01,0.162252473279615,2002,11,"exclosure",5,46,0.108695652173913,"female"
"259",2002-11-01,0.162252473279615,2002,11,"control",3,19,0.157894736842105,"female"
"260",2002-12-01,0.125710151751903,2002,12,"control",2,25,0.08,"male"
"261",2002-12-01,0.125710151751903,2002,12,"exclosure",6,31,0.193548387096774,"male"
"262",2002-12-01,0.125710151751903,2002,12,"control",2,32,0.0625,"female"
"263",2002-12-01,0.125710151751903,2002,12,"exclosure",9,81,0.111111111111111,"female"
"264",2003-02-01,0.123776565256682,2003,2,"control",2,14,0.142857142857143,"male"
"265",2003-02-01,0.123776565256682,2003,2,"exclosure",5,19,0.263157894736842,"male"
"266",2003-02-01,0.123776565256682,2003,2,"exclosure",3,53,0.0566037735849057,"female"
"267",2003-02-01,0.123776565256682,2003,2,"control",0,17,0,"female"
"268",2003-03-01,0.114747016065054,2003,3,"exclosure",8,34,0.235294117647059,"male"
"269",2003-03-01,0.114747016065054,2003,3,"control",7,26,0.269230769230769,"male"
"270",2003-03-01,0.114747016065054,2003,3,"control",10,37,0.27027027027027,"female"
