"","date","ndvi","year","month","treatment","reproductive","abundance","proportion","sex"
"271",2003-03-01,0.114747016065054,2003,3,"exclosure",27,92,0.293478260869565,"female"
"272",2003-05-01,0.116922895543671,2003,5,"exclosure",8,49,0.163265306122449,"male"
"273",2003-05-01,0.116922895543671,2003,5,"control",6,17,0.352941176470588,"male"
"274",2003-05-01,0.116922895543671,2003,5,"control",8,45,0.177777777777778,"female"
"275",2003-05-01,0.116922895543671,2003,5,"exclosure",23,122,0.188524590163934,"female"
"276",2003-06-01,0.10815266314534,2003,6,"exclosure",2,17,0.117647058823529,"male"
"277",2003-06-01,0.10815266314534,2003,6,"control",3,13,0.230769230769231,"male"
"278",2003-06-01,0.10815266314534,2003,6,"exclosure",3,51,0.0588235294117647,"female"
"279",2003-06-01,0.10815266314534,2003,6,"control",0,19,0,"female"
"280",2003-07-01,0.107159083053408,2003,7,"control",0,10,0,"male"
"281",2003-07-01,0.107159083053408,2003,7,"exclosure",0,15,0,"male"
"282",2003-07-01,0.107159083053408,2003,7,"exclosure",4,55,0.0727272727272727,"female"
"283",2003-07-01,0.107159083053408,2003,7,"control",0,21,0,"female"
"284",2003-08-01,0.119497371361754,2003,8,"exclosure",3,14,0.214285714285714,"male"
"285",2003-08-01,0.119497371361754,2003,8,"control",3,7,0.428571428571429,"male"
"286",2003-08-01,0.119497371361754,2003,8,"control",0,19,0,"female"
"287",2003-08-01,0.119497371361754,2003,8,"exclosure",0,47,0,"female"
"288",2003-09-01,0.117239692057417,2003,9,"exclosure",2,15,0.133333333333333,"male"
"289",2003-09-01,0.117239692057417,2003,9,"control",1,7,0.142857142857143,"male"
"290",2003-09-01,0.117239692057417,2003,9,"control",0,16,0,"female"
"291",2003-09-01,0.117239692057417,2003,9,"exclosure",0,39,0,"female"
"292",2003-10-01,0.109076679002544,2003,10,"control",1,5,0.2,"male"
"293",2003-10-01,0.109076679002544,2003,10,"exclosure",0,11,0,"male"
"294",2003-10-01,0.109076679002544,2003,10,"control",0,13,0,"female"
"295",2003-10-01,0.109076679002544,2003,10,"exclosure",0,29,0,"female"
"296",2003-11-01,0.112282147037176,2003,11,"exclosure",2,12,0.166666666666667,"male"
"297",2003-11-01,0.112282147037176,2003,11,"control",0,4,0,"male"
"298",2003-11-01,0.112282147037176,2003,11,"control",0,9,0,"female"
"299",2003-11-01,0.112282147037176,2003,11,"exclosure",0,28,0,"female"
"300",2003-12-01,0.103337166319315,2003,12,"control",0,3,0,"male"
"301",2003-12-01,0.103337166319315,2003,12,"exclosure",0,10,0,"male"
"302",2003-12-01,0.103337166319315,2003,12,"control",0,9,0,"female"
"303",2003-12-01,0.103337166319315,2003,12,"exclosure",0,27,0,"female"
"304",2004-01-01,0.135873878955385,2004,1,"exclosure",1,12,0.0833333333333333,"male"
"305",2004-01-01,0.135873878955385,2004,1,"control",0,2,0,"male"
"306",2004-01-01,0.135873878955385,2004,1,"control",0,6,0,"female"
"307",2004-01-01,0.135873878955385,2004,1,"exclosure",0,22,0,"female"
"308",2004-02-01,0.163693198400222,2004,2,"control",1,3,0.333333333333333,"male"
"309",2004-02-01,0.163693198400222,2004,2,"exclosure",0,7,0,"male"
"310",2004-02-01,0.163693198400222,2004,2,"control",0,5,0,"female"
"311",2004-02-01,0.163693198400222,2004,2,"exclosure",0,22,0,"female"
"312",2004-03-01,0.204210203336442,2004,3,"control",1,2,0.5,"male"
"313",2004-03-01,0.204210203336442,2004,3,"exclosure",5,9,0.555555555555556,"male"
"314",2004-03-01,0.204210203336442,2004,3,"control",0,8,0,"female"
"315",2004-03-01,0.204210203336442,2004,3,"exclosure",0,19,0,"female"
"316",2004-04-01,0.140878115449077,2004,4,"exclosure",2,5,0.4,"male"
"317",2004-04-01,0.140878115449077,2004,4,"exclosure",2,8,0.25,"female"
"318",2004-04-01,0.140878115449077,2004,4,"control",0,2,0,"female"
"319",2004-05-01,0.126043771717842,2004,5,"exclosure",1,6,0.166666666666667,"male"
"320",2004-05-01,0.126043771717842,2004,5,"control",0,2,0,"male"
"321",2004-05-01,0.126043771717842,2004,5,"control",1,5,0.2,"female"
"322",2004-05-01,0.126043771717842,2004,5,"exclosure",5,13,0.384615384615385,"female"
"323",2004-06-01,0.121710595731245,2004,6,"control",0,5,0,"male"
"324",2004-06-01,0.121710595731245,2004,6,"exclosure",0,3,0,"male"
"325",2004-06-01,0.121710595731245,2004,6,"exclosure",2,8,0.25,"female"
"326",2004-06-01,0.121710595731245,2004,6,"control",3,8,0.375,"female"
"327",2004-07-01,0.120659195491155,2004,7,"control",1,7,0.142857142857143,"male"
"328",2004-07-01,0.120659195491155,2004,7,"exclosure",2,5,0.4,"male"
"329",2004-07-01,0.120659195491155,2004,7,"exclosure",4,13,0.307692307692308,"female"
"330",2004-07-01,0.120659195491155,2004,7,"control",0,11,0,"female"
"331",2004-08-01,0.265080747608755,2004,8,"exclosure",3,9,0.333333333333333,"male"
"332",2004-08-01,0.265080747608755,2004,8,"control",0,6,0,"male"
"333",2004-08-01,0.265080747608755,2004,8,"exclosure",1,14,0.0714285714285714,"female"
"334",2004-08-01,0.265080747608755,2004,8,"control",0,7,0,"female"
"335",2004-09-01,0.216951496530686,2004,9,"exclosure",1,6,0.166666666666667,"male"
"336",2004-09-01,0.216951496530686,2004,9,"control",0,5,0,"male"
"337",2004-09-01,0.216951496530686,2004,9,"exclosure",2,16,0.125,"female"
"338",2004-09-01,0.216951496530686,2004,9,"control",2,9,0.222222222222222,"female"
"339",2004-10-01,0.17208529134645,2004,10,"control",1,8,0.125,"male"
"340",2004-10-01,0.17208529134645,2004,10,"exclosure",2,7,0.285714285714286,"male"
"341",2004-10-01,0.17208529134645,2004,10,"control",3,13,0.230769230769231,"female"
"342",2004-10-01,0.17208529134645,2004,10,"exclosure",0,11,0,"female"
"343",2004-11-01,0.146819943943879,2004,11,"control",1,6,0.166666666666667,"male"
"344",2004-11-01,0.146819943943879,2004,11,"exclosure",1,3,0.333333333333333,"male"
"345",2004-11-01,0.146819943943879,2004,11,"control",0,12,0,"female"
"346",2004-11-01,0.146819943943879,2004,11,"exclosure",0,6,0,"female"
"347",2004-12-01,0.145988320415724,2004,12,"exclosure",2,11,0.181818181818182,"male"
"348",2004-12-01,0.145988320415724,2004,12,"control",2,5,0.4,"male"
"349",2004-12-01,0.145988320415724,2004,12,"control",0,12,0,"female"
"350",2004-12-01,0.145988320415724,2004,12,"exclosure",0,12,0,"female"
"351",2005-01-01,0.154621132715489,2005,1,"control",0,7,0,"male"
"352",2005-01-01,0.154621132715489,2005,1,"exclosure",0,7,0,"male"
"353",2005-01-01,0.154621132715489,2005,1,"control",0,14,0,"female"
"354",2005-01-01,0.154621132715489,2005,1,"exclosure",0,11,0,"female"
"355",2005-03-01,0.283821636682951,2005,3,"exclosure",1,7,0.142857142857143,"male"
"356",2005-03-01,0.283821636682951,2005,3,"control",1,3,0.333333333333333,"male"
"357",2005-03-01,0.283821636682951,2005,3,"control",1,7,0.142857142857143,"female"
"358",2005-03-01,0.283821636682951,2005,3,"exclosure",2,9,0.222222222222222,"female"
"359",2005-04-01,0.183232445713141,2005,4,"exclosure",3,7,0.428571428571429,"male"
"360",2005-04-01,0.183232445713141,2005,4,"control",1,2,0.5,"male"
"361",2005-04-01,0.183232445713141,2005,4,"control",4,8,0.5,"female"
"362",2005-04-01,0.183232445713141,2005,4,"exclosure",4,8,0.5,"female"
"363",2005-05-01,0.147155764405097,2005,5,"exclosure",1,4,0.25,"male"
"364",2005-05-01,0.147155764405097,2005,5,"control",1,3,0.333333333333333,"male"
"365",2005-05-01,0.147155764405097,2005,5,"exclosure",1,10,0.1,"female"
"366",2005-05-01,0.147155764405097,2005,5,"control",2,5,0.4,"female"
"367",2005-06-01,0.143736615403422,2005,6,"exclosure",1,11,0.0909090909090909,"male"
"368",2005-06-01,0.143736615403422,2005,6,"control",1,5,0.2,"male"
"369",2005-06-01,0.143736615403422,2005,6,"exclosure",4,15,0.266666666666667,"female"
"370",2005-06-01,0.143736615403422,2005,6,"control",6,9,0.666666666666667,"female"
"371",2005-07-01,0.144960806162112,2005,7,"control",1,9,0.111111111111111,"male"
"372",2005-07-01,0.144960806162112,2005,7,"exclosure",0,17,0,"male"
"373",2005-07-01,0.144960806162112,2005,7,"exclosure",2,27,0.0740740740740741,"female"
"374",2005-07-01,0.144960806162112,2005,7,"control",2,9,0.222222222222222,"female"
"375",2005-08-01,0.175348482735065,2005,8,"exclosure",2,22,0.0909090909090909,"male"
"376",2005-08-01,0.175348482735065,2005,8,"control",0,12,0,"male"
"377",2005-08-01,0.175348482735065,2005,8,"exclosure",4,29,0.137931034482759,"female"
"378",2005-08-01,0.175348482735065,2005,8,"control",0,15,0,"female"
"379",2005-09-01,0.201724268938414,2005,9,"control",1,33,0.0303030303030303,"male"
"380",2005-09-01,0.201724268938414,2005,9,"exclosure",3,38,0.0789473684210526,"male"
"381",2005-09-01,0.201724268938414,2005,9,"control",1,33,0.0303030303030303,"female"
"382",2005-09-01,0.201724268938414,2005,9,"exclosure",0,49,0,"female"
"383",2005-10-01,0.152390593691739,2005,10,"exclosure",2,13,0.153846153846154,"male"
"384",2005-10-01,0.152390593691739,2005,10,"control",1,4,0.25,"male"
"385",2005-10-01,0.152390593691739,2005,10,"control",0,7,0,"female"
"386",2005-10-01,0.152390593691739,2005,10,"exclosure",0,17,0,"female"
"387",2005-11-01,0.134183299042063,2005,11,"exclosure",2,23,0.0869565217391304,"male"
"388",2005-11-01,0.134183299042063,2005,11,"control",3,15,0.2,"male"
"389",2005-11-01,0.134183299042063,2005,11,"control",0,19,0,"female"
"390",2005-11-01,0.134183299042063,2005,11,"exclosure",0,34,0,"female"
"391",2005-12-01,0.103737091028793,2005,12,"exclosure",1,15,0.0666666666666667,"male"
"392",2005-12-01,0.103737091028793,2005,12,"control",0,6,0,"male"
"393",2005-12-01,0.103737091028793,2005,12,"control",0,15,0,"female"
"394",2005-12-01,0.103737091028793,2005,12,"exclosure",0,22,0,"female"
"395",2006-01-01,0.0947912820238293,2006,1,"exclosure",2,36,0.0555555555555556,"male"
"396",2006-01-01,0.0947912820238293,2006,1,"control",3,19,0.157894736842105,"male"
"397",2006-01-01,0.0947912820238293,2006,1,"control",0,22,0,"female"
"398",2006-01-01,0.0947912820238293,2006,1,"exclosure",0,39,0,"female"
"399",2006-03-01,0.104262179327797,2006,3,"exclosure",4,34,0.117647058823529,"male"
"400",2006-03-01,0.104262179327797,2006,3,"control",4,15,0.266666666666667,"male"
"401",2006-03-01,0.104262179327797,2006,3,"control",1,16,0.0625,"female"
"402",2006-03-01,0.104262179327797,2006,3,"exclosure",0,40,0,"female"
"403",2006-04-01,0.100760362346108,2006,4,"exclosure",5,16,0.3125,"male"
"404",2006-04-01,0.100760362346108,2006,4,"control",2,5,0.4,"male"
"405",2006-04-01,0.100760362346108,2006,4,"control",1,7,0.142857142857143,"female"
"406",2006-04-01,0.100760362346108,2006,4,"exclosure",5,18,0.277777777777778,"female"
"407",2006-05-01,0.0927611741467741,2006,5,"exclosure",2,18,0.111111111111111,"male"
"408",2006-05-01,0.0927611741467741,2006,5,"control",1,6,0.166666666666667,"male"
"409",2006-05-01,0.0927611741467741,2006,5,"control",1,7,0.142857142857143,"female"
"410",2006-05-01,0.0927611741467741,2006,5,"exclosure",6,24,0.25,"female"
"411",2006-06-01,0.0987349153073274,2006,6,"exclosure",2,14,0.142857142857143,"male"
"412",2006-06-01,0.0987349153073274,2006,6,"exclosure",5,16,0.3125,"female"
"413",2006-06-01,0.0987349153073274,2006,6,"control",1,2,0.5,"female"
"414",2006-07-01,0.123680693165217,2006,7,"control",2,11,0.181818181818182,"male"
"415",2006-07-01,0.123680693165217,2006,7,"exclosure",7,21,0.333333333333333,"male"
"416",2006-07-01,0.123680693165217,2006,7,"control",2,10,0.2,"female"
"417",2006-07-01,0.123680693165217,2006,7,"exclosure",11,34,0.323529411764706,"female"
"418",2006-08-01,0.418678309619902,2006,8,"exclosure",1,4,0.25,"male"
"419",2006-08-01,0.418678309619902,2006,8,"control",0,1,0,"male"
"420",2006-08-01,0.418678309619902,2006,8,"exclosure",4,9,0.444444444444444,"female"
"421",2006-08-01,0.418678309619902,2006,8,"control",1,1,1,"female"
"422",2006-09-01,0.395720517063942,2006,9,"control",1,4,0.25,"male"
"423",2006-09-01,0.395720517063942,2006,9,"exclosure",2,8,0.25,"male"
"424",2006-09-01,0.395720517063942,2006,9,"exclosure",7,15,0.466666666666667,"female"
"425",2006-09-01,0.395720517063942,2006,9,"control",0,2,0,"female"
"426",2006-10-01,0.262862743086472,2006,10,"control",2,8,0.25,"male"
"427",2006-10-01,0.262862743086472,2006,10,"exclosure",5,15,0.333333333333333,"male"
"428",2006-10-01,0.262862743086472,2006,10,"control",3,9,0.333333333333333,"female"
"429",2006-10-01,0.262862743086472,2006,10,"exclosure",10,27,0.37037037037037,"female"
"430",2006-11-01,0.218783468369388,2006,11,"exclosure",3,17,0.176470588235294,"male"
"431",2006-11-01,0.218783468369388,2006,11,"control",4,13,0.307692307692308,"male"
"432",2006-11-01,0.218783468369388,2006,11,"exclosure",6,36,0.166666666666667,"female"
"433",2006-11-01,0.218783468369388,2006,11,"control",0,11,0,"female"
"434",2006-12-01,0.147973252290603,2006,12,"control",0,23,0,"male"
"435",2006-12-01,0.147973252290603,2006,12,"exclosure",0,22,0,"male"
"436",2006-12-01,0.147973252290603,2006,12,"exclosure",6,40,0.15,"female"
"437",2006-12-01,0.147973252290603,2006,12,"control",2,13,0.153846153846154,"female"
"438",2007-01-01,0.11184123101105,2007,1,"exclosure",1,8,0.125,"male"
"439",2007-01-01,0.11184123101105,2007,1,"control",5,11,0.454545454545455,"male"
"440",2007-01-01,0.11184123101105,2007,1,"exclosure",1,23,0.0434782608695652,"female"
"441",2007-01-01,0.11184123101105,2007,1,"control",0,11,0,"female"
"442",2007-02-01,0.112301393098404,2007,2,"exclosure",4,14,0.285714285714286,"male"
"443",2007-02-01,0.112301393098404,2007,2,"control",7,21,0.333333333333333,"male"
"444",2007-02-01,0.112301393098404,2007,2,"control",0,24,0,"female"
"445",2007-02-01,0.112301393098404,2007,2,"exclosure",0,34,0,"female"
"446",2007-03-01,0.114773416391782,2007,3,"control",4,18,0.222222222222222,"male"
"447",2007-03-01,0.114773416391782,2007,3,"exclosure",5,12,0.416666666666667,"male"
"448",2007-03-01,0.114773416391782,2007,3,"control",2,20,0.1,"female"
"449",2007-03-01,0.114773416391782,2007,3,"exclosure",5,35,0.142857142857143,"female"
"450",2007-04-01,0.126355029247506,2007,4,"control",2,24,0.0833333333333333,"male"
"451",2007-04-01,0.126355029247506,2007,4,"exclosure",4,22,0.181818181818182,"male"
"452",2007-04-01,0.126355029247506,2007,4,"exclosure",10,42,0.238095238095238,"female"
"453",2007-04-01,0.126355029247506,2007,4,"control",8,23,0.347826086956522,"female"
"454",2007-05-01,0.133058676688956,2007,5,"exclosure",1,38,0.0263157894736842,"male"
"455",2007-05-01,0.133058676688956,2007,5,"control",4,35,0.114285714285714,"male"
"456",2007-05-01,0.133058676688956,2007,5,"control",8,36,0.222222222222222,"female"
"457",2007-05-01,0.133058676688956,2007,5,"exclosure",18,73,0.246575342465753,"female"
"458",2007-06-01,0.136076865125808,2007,6,"exclosure",2,40,0.05,"male"
"459",2007-06-01,0.136076865125808,2007,6,"control",2,37,0.0540540540540541,"male"
"460",2007-06-01,0.136076865125808,2007,6,"control",5,51,0.0980392156862745,"female"
"461",2007-06-01,0.136076865125808,2007,6,"exclosure",9,89,0.101123595505618,"female"
"462",2007-07-01,0.166711078939229,2007,7,"control",1,50,0.02,"male"
"463",2007-07-01,0.166711078939229,2007,7,"exclosure",1,46,0.0217391304347826,"male"
"464",2007-07-01,0.166711078939229,2007,7,"exclosure",4,95,0.0421052631578947,"female"
"465",2007-07-01,0.166711078939229,2007,7,"control",2,43,0.0465116279069767,"female"
"466",2007-08-01,0.357813525974183,2007,8,"control",1,27,0.037037037037037,"male"
"467",2007-08-01,0.357813525974183,2007,8,"exclosure",1,22,0.0454545454545455,"male"
"468",2007-08-01,0.357813525974183,2007,8,"control",0,24,0,"female"
"469",2007-08-01,0.357813525974183,2007,8,"exclosure",0,43,0,"female"
"470",2007-09-01,0.306056272871814,2007,9,"control",1,32,0.03125,"male"
"471",2007-09-01,0.306056272871814,2007,9,"exclosure",1,28,0.0357142857142857,"male"
"472",2007-09-01,0.306056272871814,2007,9,"exclosure",2,75,0.0266666666666667,"female"
"473",2007-09-01,0.306056272871814,2007,9,"control",1,37,0.027027027027027,"female"
"474",2007-10-01,0.212128803859863,2007,10,"control",0,23,0,"male"
"475",2007-10-01,0.212128803859863,2007,10,"exclosure",0,24,0,"male"
"476",2007-10-01,0.212128803859863,2007,10,"exclosure",1,59,0.0169491525423729,"female"
"477",2007-10-01,0.212128803859863,2007,10,"control",0,31,0,"female"
"478",2007-11-01,0.152018693618577,2007,11,"control",0,21,0,"male"
"479",2007-11-01,0.152018693618577,2007,11,"exclosure",0,23,0,"male"
"480",2007-11-01,0.152018693618577,2007,11,"control",0,27,0,"female"
"481",2007-11-01,0.152018693618577,2007,11,"exclosure",0,49,0,"female"
"482",2007-12-01,0.138472846656537,2007,12,"control",0,15,0,"male"
"483",2007-12-01,0.138472846656537,2007,12,"exclosure",0,16,0,"male"
"484",2007-12-01,0.138472846656537,2007,12,"control",0,18,0,"female"
"485",2007-12-01,0.138472846656537,2007,12,"exclosure",0,29,0,"female"
"486",2008-01-01,0.114083918393129,2008,1,"control",0,9,0,"male"
"487",2008-01-01,0.114083918393129,2008,1,"exclosure",0,15,0,"male"
"488",2008-01-01,0.114083918393129,2008,1,"control",0,19,0,"female"
"489",2008-01-01,0.114083918393129,2008,1,"exclosure",0,21,0,"female"
"490",2008-02-01,0.12109422749297,2008,2,"exclosure",1,13,0.0769230769230769,"male"
"491",2008-02-01,0.12109422749297,2008,2,"control",0,11,0,"male"
"492",2008-02-01,0.12109422749297,2008,2,"control",0,16,0,"female"
"493",2008-02-01,0.12109422749297,2008,2,"exclosure",0,20,0,"female"
"494",2008-03-01,0.12194082893716,2008,3,"control",1,16,0.0625,"male"
"495",2008-03-01,0.12194082893716,2008,3,"exclosure",1,15,0.0666666666666667,"male"
"496",2008-03-01,0.12194082893716,2008,3,"control",0,13,0,"female"
"497",2008-03-01,0.12194082893716,2008,3,"exclosure",0,15,0,"female"
"498",2008-04-01,0.108759597560493,2008,4,"control",4,13,0.307692307692308,"male"
"499",2008-04-01,0.108759597560493,2008,4,"exclosure",0,16,0,"male"
"500",2008-04-01,0.108759597560493,2008,4,"exclosure",1,16,0.0625,"female"
"501",2008-04-01,0.108759597560493,2008,4,"control",0,16,0,"female"
"502",2008-05-01,0.108732142123564,2008,5,"exclosure",2,13,0.153846153846154,"male"
"503",2008-05-01,0.108732142123564,2008,5,"control",4,15,0.266666666666667,"male"
"504",2008-05-01,0.108732142123564,2008,5,"exclosure",3,17,0.176470588235294,"female"
"505",2008-05-01,0.108732142123564,2008,5,"control",3,15,0.2,"female"
"506",2008-06-01,0.1051370979574,2008,6,"exclosure",4,29,0.137931034482759,"male"
"507",2008-06-01,0.1051370979574,2008,6,"control",5,28,0.178571428571429,"male"
"508",2008-06-01,0.1051370979574,2008,6,"control",1,26,0.0384615384615385,"female"
"509",2008-06-01,0.1051370979574,2008,6,"exclosure",2,46,0.0434782608695652,"female"
"510",2008-07-01,0.191929967902755,2008,7,"exclosure",1,7,0.142857142857143,"male"
"511",2008-07-01,0.191929967902755,2008,7,"control",0,2,0,"male"
"512",2008-07-01,0.191929967902755,2008,7,"control",0,5,0,"female"
"513",2008-07-01,0.191929967902755,2008,7,"exclosure",0,5,0,"female"
"514",2008-08-01,0.312729028691625,2008,8,"control",0,6,0,"male"
"515",2008-08-01,0.312729028691625,2008,8,"exclosure",0,12,0,"male"
"516",2008-08-01,0.312729028691625,2008,8,"control",0,8,0,"female"
"517",2008-08-01,0.312729028691625,2008,8,"exclosure",0,14,0,"female"
"518",2008-09-01,0.27760099490524,2008,9,"control",0,8,0,"male"
"519",2008-09-01,0.27760099490524,2008,9,"exclosure",0,13,0,"male"
"520",2008-09-01,0.27760099490524,2008,9,"control",0,6,0,"female"
"521",2008-09-01,0.27760099490524,2008,9,"exclosure",0,16,0,"female"
"522",2008-10-01,0.180767953821219,2008,10,"control",0,6,0,"male"
"523",2008-10-01,0.180767953821219,2008,10,"exclosure",0,11,0,"male"
"524",2008-10-01,0.180767953821219,2008,10,"control",0,6,0,"female"
"525",2008-10-01,0.180767953821219,2008,10,"exclosure",0,16,0,"female"
"526",2008-11-01,0.144572070195743,2008,11,"control",0,3,0,"male"
"527",2008-11-01,0.144572070195743,2008,11,"exclosure",0,6,0,"male"
"528",2008-11-01,0.144572070195743,2008,11,"control",0,6,0,"female"
"529",2008-11-01,0.144572070195743,2008,11,"exclosure",0,14,0,"female"
"530",2008-12-01,0.120570562104295,2008,12,"control",0,4,0,"male"
"531",2008-12-01,0.120570562104295,2008,12,"exclosure",0,6,0,"male"
"532",2008-12-01,0.120570562104295,2008,12,"control",0,5,0,"female"
"533",2008-12-01,0.120570562104295,2008,12,"exclosure",0,9,0,"female"
"534",2009-01-01,0.108929456255536,2009,1,"control",0,2,0,"male"
"535",2009-01-01,0.108929456255536,2009,1,"exclosure",0,8,0,"male"
