Species,Sex,Trait,Treatment,Month_num,Month,Count
PB,M,S,exclosure,1,Jan,6
PB,M,S,exclosure,2,Feb,14
PB,M,S,exclosure,3,Mar,47
PB,M,S,exclosure,4,Apr,46
PB,M,S,exclosure,5,May,34
PB,M,S,exclosure,6,Jun,22
PB,M,S,exclosure,7,Jul,27
PB,M,S,exclosure,8,Aug,10
PB,M,S,exclosure,9,Sept,11
PB,M,S,exclosure,10,Oct,14
PB,M,S,exclosure,11,Nov,3
PB,M,S,exclosure,12,Dec,7
PB,M,S,control,1,Jan,4
PB,M,S,control,2,Feb,17
PB,M,S,control,3,Mar,34
PB,M,S,control,4,Apr,19
PB,M,S,control,5,May,12
PB,M,S,control,6,Jun,9
PB,M,S,control,7,Jul,7
PB,M,S,control,8,Aug,4
PB,M,S,control,9,Sept,2
PB,M,S,control,10,Oct,5
PB,M,S,control,11,Nov,2
PB,M,S,control,12,Dec,4
PP,M,S,exclosure,1,Jan,0
PP,M,S,exclosure,2,Feb,20
PP,M,S,exclosure,3,Mar,119
PP,M,S,exclosure,4,Apr,223
PP,M,S,exclosure,5,May,213
PP,M,S,exclosure,6,Jun,121
PP,M,S,exclosure,7,Jul,74
PP,M,S,exclosure,8,Aug,24
PP,M,S,exclosure,9,Sept,6
PP,M,S,exclosure,10,Oct,0
PP,M,S,exclosure,11,Nov,0
PP,M,S,exclosure,12,Dec,1
PP,M,S,control,1,Jan,0
PP,M,S,control,2,Feb,11
PP,M,S,control,3,Mar,171
PP,M,S,control,4,Apr,184
PP,M,S,control,5,May,212
PP,M,S,control,6,Jun,129
PP,M,S,control,7,Jul,59
PP,M,S,control,8,Aug,14
PP,M,S,control,9,Sept,5
PP,M,S,control,10,Oct,0
PP,M,S,control,11,Nov,0
PP,M,S,control,12,Dec,0
PF,M,S,exclosure,1,Jan,16
PF,M,S,exclosure,2,Feb,22
PF,M,S,exclosure,3,Mar,50
PF,M,S,exclosure,4,Apr,59
PF,M,S,exclosure,5,May,42
PF,M,S,exclosure,6,Jun,49
PF,M,S,exclosure,7,Jul,48
PF,M,S,exclosure,8,Aug,33
PF,M,S,exclosure,9,Sept,23
PF,M,S,exclosure,10,Oct,27
PF,M,S,exclosure,11,Nov,6
PF,M,S,exclosure,12,Dec,9
PF,M,S,control,1,Jan,4
PF,M,S,control,2,Feb,8
PF,M,S,control,3,Mar,18
PF,M,S,control,4,Apr,29
PF,M,S,control,5,May,22
PF,M,S,control,6,Jun,21
PF,M,S,control,7,Jul,20
PF,M,S,control,8,Aug,17
PF,M,S,control,9,Sept,16
PF,M,S,control,10,Oct,11
PF,M,S,control,11,Nov,1
PF,M,S,control,12,Dec,8
PE,M,S,exclosure,1,Jan,0
PE,M,S,exclosure,2,Feb,1
PE,M,S,exclosure,3,Mar,10
PE,M,S,exclosure,4,Apr,5
PE,M,S,exclosure,5,May,12
PE,M,S,exclosure,6,Jun,9
PE,M,S,exclosure,7,Jul,8
PE,M,S,exclosure,8,Aug,3
PE,M,S,exclosure,9,Sept,3
PE,M,S,exclosure,10,Oct,1
PE,M,S,exclosure,11,Nov,0
PE,M,S,exclosure,12,Dec,0
PE,M,S,control,1,Jan,0
PE,M,S,control,2,Feb,5
PE,M,S,control,3,Mar,11
PE,M,S,control,4,Apr,21
PE,M,S,control,5,May,13
PE,M,S,control,6,Jun,6
PE,M,S,control,7,Jul,6
PE,M,S,control,8,Aug,4
PE,M,S,control,9,Sept,4
PE,M,S,control,10,Oct,1
PE,M,S,control,11,Nov,1
PE,M,S,control,12,Dec,0
PM,M,S,exclosure,1,Jan,3
PM,M,S,exclosure,2,Feb,6
PM,M,S,exclosure,3,Mar,9
PM,M,S,exclosure,4,Apr,10
PM,M,S,exclosure,5,May,7
PM,M,S,exclosure,6,Jun,12
PM,M,S,exclosure,7,Jul,15
PM,M,S,exclosure,8,Aug,4
PM,M,S,exclosure,9,Sept,6
PM,M,S,exclosure,10,Oct,7
PM,M,S,exclosure,11,Nov,1
PM,M,S,exclosure,12,Dec,4
PM,M,S,control,1,Jan,1
PM,M,S,control,2,Feb,1
PM,M,S,control,3,Mar,2
PM,M,S,control,4,Apr,6
PM,M,S,control,5,May,3
PM,M,S,control,6,Jun,2
PM,M,S,control,7,Jul,4
PM,M,S,control,8,Aug,4
PM,M,S,control,9,Sept,3
PM,M,S,control,10,Oct,0
PM,M,S,control,11,Nov,4
PM,M,S,control,12,Dec,1
RM,M,S,exclosure,1,Jan,21
RM,M,S,exclosure,2,Feb,37
RM,M,S,exclosure,3,Mar,61
RM,M,S,exclosure,4,Apr,46
RM,M,S,exclosure,5,May,19
RM,M,S,exclosure,6,Jun,20
RM,M,S,exclosure,7,Jul,18
RM,M,S,exclosure,8,Aug,5
RM,M,S,exclosure,9,Sept,8
RM,M,S,exclosure,10,Oct,13
RM,M,S,exclosure,11,Nov,14
RM,M,S,exclosure,12,Dec,14
RM,M,S,control,1,Jan,8
RM,M,S,control,2,Feb,24
RM,M,S,control,3,Mar,44
RM,M,S,control,4,Apr,28
RM,M,S,control,5,May,18
RM,M,S,control,6,Jun,3
RM,M,S,control,7,Jul,6
RM,M,S,control,8,Aug,1
RM,M,S,control,9,Sept,0
RM,M,S,control,10,Oct,8
RM,M,S,control,11,Nov,4
RM,M,S,control,12,Dec,7
DM,M,S,exclosure,1,Jan,15
DM,M,S,exclosure,2,Feb,20
DM,M,S,exclosure,3,Mar,22
DM,M,S,exclosure,4,Apr,14
DM,M,S,exclosure,5,May,17
DM,M,S,exclosure,6,Jun,11
DM,M,S,exclosure,7,Jul,7
DM,M,S,exclosure,8,Aug,7
DM,M,S,exclosure,9,Sept,5
DM,M,S,exclosure,10,Oct,8
DM,M,S,exclosure,11,Nov,9
DM,M,S,exclosure,12,Dec,5
DM,M,S,control,1,Jan,177
DM,M,S,control,2,Feb,288
DM,M,S,control,3,Mar,500
DM,M,S,control,4,Apr,466
DM,M,S,control,5,May,437
DM,M,S,control,6,Jun,365
DM,M,S,control,7,Jul,368
DM,M,S,control,8,Aug,288
DM,M,S,control,9,Sept,216
DM,M,S,control,10,Oct,145
DM,M,S,control,11,Nov,117
DM,M,S,control,12,Dec,121
DO,M,S,exclosure,1,Jan,2
DO,M,S,exclosure,2,Feb,14
DO,M,S,exclosure,3,Mar,13
DO,M,S,exclosure,4,Apr,10
DO,M,S,exclosure,5,May,7
DO,M,S,exclosure,6,Jun,5
DO,M,S,exclosure,7,Jul,5
DO,M,S,exclosure,8,Aug,1
DO,M,S,exclosure,9,Sept,2
DO,M,S,exclosure,10,Oct,2
DO,M,S,exclosure,11,Nov,1
DO,M,S,exclosure,12,Dec,2
DO,M,S,control,1,Jan,75
DO,M,S,control,2,Feb,107
DO,M,S,control,3,Mar,160
DO,M,S,control,4,Apr,153
DO,M,S,control,5,May,138
DO,M,S,control,6,Jun,128
DO,M,S,control,7,Jul,133
DO,M,S,control,8,Aug,97
DO,M,S,control,9,Sept,68
DO,M,S,control,10,Oct,66
DO,M,S,control,11,Nov,57
DO,M,S,control,12,Dec,57
